   * Generated on 2025-Aug-16 17:06 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|LF|Analysis of the apparent nuclear modification in peripheral Pb-Pb collisions at 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1805.05212v2][1805.05212]]|[[https://inspirehep.net/literature/1672944][1672944]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2019.04.047][Phys. Lett. B 793]]%ENDCOLOR%|60|
|CF|Two particle differential transverse momentum and number density correlations in p-Pb and Pb-Pb at the LHC|%BLUE%pPb%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1805.04422v2][1805.04422]]|[[https://inspirehep.net/literature/1672765][1672765]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.100.044903][Phys. Rev. C 100]]%ENDCOLOR%|59|
|HF|Azimuthal anisotropy of heavy-flavour decay electrons in p-Pb collisions at $ \sqrt{s_{\rm NN}}$ = 5.02 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1805.04367v2][1805.04367]]|[[https://inspirehep.net/literature/1672812][1672812]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.122.072301][Phys. Rev. Lett. 122]]%ENDCOLOR%|58|
|LF|Production of the $ρ$(770)${^{0}}$ meson in pp and Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1805.04365v2][1805.04365]]|[[https://inspirehep.net/literature/1672860][1672860]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.99.064901][Phys. Rev. C 99]]%ENDCOLOR%|57|
|CF|Anisotropic flow in Xe-Xe collisions at $\mathbf{\sqrt{s_{\rm{NN}}} = 5.44}$ !TeV|%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/1805.01832v2][1805.01832]]|[[https://inspirehep.net/literature/1671792][1671792]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2018.06.059][Phys. Lett. B 784]]%ENDCOLOR%|56|
|CF|Azimuthally-differential pion femtoscopy relative to the third harmonic event plane in Pb-Pb collisions at $\sqrt{\textit{s}_{_{\rm NN}}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1803.10594v2][1803.10594]]|[[https://inspirehep.net/literature/1664538][1664538]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2018.06.042][Phys. Lett. B 785]]%ENDCOLOR%|55|
|GA|Direct photon production at low transverse momentum in proton-proton collisions at $\sqrt{s}$ = 2.76 and 8 !TeV|pp|[[http://arxiv.org/abs/1803.09857v2][1803.09857]]|[[https://inspirehep.net/literature/1664312][1664312]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.99.024912][Phys. Rev. C 99]]%ENDCOLOR%|54|
|JE|Constraints on jet quenching in p-Pb collisions at $\mathbf{\sqrt{s_{NN}}}$ = 5.02 !TeV measured by the event-activity dependence of semi-inclusive hadron-jet distributions|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1712.05603v2][1712.05603]]|[[https://inspirehep.net/literature/1643642][1643642]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2018.05.059][Phys. Lett. B 783]]%ENDCOLOR%|53|
|CF|Constraining the magnitude of the Chiral Magnetic Effect with Event Shape Engineering in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1709.04723v2][1709.04723]]|[[https://inspirehep.net/literature/1623558][1623558]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2017.12.021][Phys. Lett. B 777]]%ENDCOLOR%|52|
|CF|Kaon femtoscopy in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1709.01731v2][1709.01731]]|[[https://inspirehep.net/literature/1621809][1621809]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.96.064613][Phys. Rev. C 96]]%ENDCOLOR%|51|
