   * Generated on 2022-Mar-15 16:47 UTC  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|HF|Measurement of inclusive charged-particle b-jet production in pp and p-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2110.06104v1][2110.06104]]|[[https://inspirehep.net/literature/1942023][1942023]]|%GREEN%[[https://doi.org/10.1007/JHEP01(2022)178][JHEP 01]]%ENDCOLOR%|347|
|DQ|Inclusive quarkonium production in pp collisions at \(\sqrt{s} = 5.02\) !TeV|pp|[[http://arxiv.org/abs/2109.15240v1][2109.15240]]|[[https://inspirehep.net/literature/1935680][1935680]]|%RED%Submitted%ENDCOLOR%|346|
|LF|Production of light (anti)nuclei in pp collisions at \(\sqrt{s} = 13\)!TeV|pp|[[http://arxiv.org/abs/2109.13026v1][2109.13026]]|[[https://inspirehep.net/literature/1928822][1928822]]|%GREEN%[[https://doi.org/10.1007/JHEP01(2022)106][JHEP 01]]%ENDCOLOR%|345|
|DQ|Prompt and non-prompt J/\(\psi\) production cross sections at midrapidity in proton-proton collisions at \(\sqrt{s}\) = 5.02 and 13 !TeV|pp|[[http://arxiv.org/abs/2108.02523v1][2108.02523]]|[[https://inspirehep.net/literature/1899703][1899703]]|%RED%Submitted%ENDCOLOR%|344|
|DQ|Inclusive J/\(\psi\) production at midrapidity in pp collisions at \(\sqrt{s}~=~13\) !TeV|pp|[[http://arxiv.org/abs/2108.01906v2][2108.01906]]|[[https://inspirehep.net/literature/1898832][1898832]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-021-09873-4][Eur. Phys. J. C 81]]%ENDCOLOR%|343|
|JE|Measurement of the groomed jet radius and momentum splitting fraction in pp and Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.12984v1][2107.12984]]|[[https://inspirehep.net/literature/1893479][1893479]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.128.102001][Phys. Rev. Lett. 128]]%ENDCOLOR%|342|
|JE|Measurements of the groomed and ungroomed jet angularities in pp collisions at \(\sqrt{s} = 5.02\) !TeV|pp|[[http://arxiv.org/abs/2107.11303v1][2107.11303]]|[[https://inspirehep.net/literature/1891385][1891385]]|%RED%Submitted%ENDCOLOR%|341|
|CF|Polarization of \(\Lambda\) and \(\overline\Lambda\) hyperons along the beam direction in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.11183v1][2107.11183]]|[[https://inspirehep.net/literature/1891389][1891389]]|%RED%Submitted%ENDCOLOR%|340|
|MM|Measurement of very forward energy and particle production at midrapidity in pp and p-Pb collisions at the LHC|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.10757v1][2107.10757]]|[[https://inspirehep.net/literature/1890061][1890061]]|%RED%Submitted%ENDCOLOR%|339|
|LF|Hypertriton production in p-Pb collisions at \(\sqrt{s_{\rm{NN}}}\) = 5.02 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.10627v1][2107.10627]]|[[https://inspirehep.net/literature/1889905][1889905]]|%RED%Submitted%ENDCOLOR%|338|
