   * Generated on 2026-Sep-24 16:27 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|UD|Photoproduction of K\(^{+}\)K\(^{-}\) pairs in ultra-peripheral collisions|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2311.11792v2][2311.11792]]|[[https://inspirehep.net/literature/2724212][2724212]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.132.222303][Phys. Rev. Lett. 132]]%ENDCOLOR%|92|
|JE|Search for jet quenching effects in high-multiplicity pp collisions at \(\sqrt{s}\) = 13 !TeV via di-jet acoplanarity|pp|[[http://arxiv.org/abs/2309.03788v2][2309.03788]]|[[https://inspirehep.net/literature/2694579][2694579]]|%GREEN%[[https://doi.org/10.1007/JHEP05(2024)229][JHEP 05]]%ENDCOLOR%|91|
|JE|Observation of medium-induced yield enhancement and acoplanarity broadening of low-\(p_\mathrm{T}\) jets from measurements in pp and central Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}}=5.02\) !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2308.16131v3][2308.16131]]|[[https://inspirehep.net/literature/2693336][2693336]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.133.022301][Phys. Rev. Lett. 133]]%ENDCOLOR%|90|
|JE|Measurements of jet quenching using semi-inclusive hadron+jet distributions in pp and central Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}}=5.02\) !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2308.16128v3][2308.16128]]|[[https://inspirehep.net/literature/2693247][2693247]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.110.014906][Phys. Rev. C 110]]%ENDCOLOR%|89|
|n/a|The ALICE experiment: a journey through QCD|pp,%BLUE%pPb%ENDCOLOR%,%PINK%XeXe%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2211.04384v2][2211.04384]]|[[https://inspirehep.net/literature/2178285][2178285]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-024-12935-y][Eur. Phys. J. C 84]]%ENDCOLOR%|88|
|JE|Measurement of the groomed jet radius and momentum splitting fraction in pp and Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.12984v2][2107.12984]]|[[https://inspirehep.net/literature/1893479][1893479]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.128.102001][Phys. Rev. Lett. 128]]%ENDCOLOR%|87|
|JE|Measurements of the groomed and ungroomed jet angularities in pp collisions at \(\sqrt{s} = 5.02\) !TeV|pp|[[http://arxiv.org/abs/2107.11303v2][2107.11303]]|[[https://inspirehep.net/literature/1891385][1891385]]|%GREEN%[[https://doi.org/10.1007/JHEP05(2022)061][JHEP 05]]%ENDCOLOR%|86|
|CF|Polarization of \(\Lambda\) and \(\overline\Lambda\) hyperons along the beam direction in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2107.11183v2][2107.11183]]|[[https://inspirehep.net/literature/1891389][1891389]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.128.172005][Phys. Rev. Lett. 128]]%ENDCOLOR%|85|
|JE|Direct observation of the dead-cone effect in QCD|pp|[[http://arxiv.org/abs/2106.05713v2][2106.05713]]|[[https://inspirehep.net/literature/1867966][1867966]]|%GREEN%[[https://doi.org/10.1038/s41586-022-04572-w][Nature 605]]%ENDCOLOR%|84|
|HF|Charm-quark fragmentation fractions and production cross section at midrapidity in pp collisions at the LHC|pp|[[http://arxiv.org/abs/2105.06335v2][2105.06335]]|[[https://inspirehep.net/literature/1863128][1863128]]|%GREEN%[[https://doi.org/10.1103/PhysRevD.105.L011103][Phys. Rev. D 105]]%ENDCOLOR%|83|
|JE|First measurements of \(N\)-subjettiness in central Pb\(-\)Pb collisions at \({\sqrt{\it{s}_{\rm {NN}}}} = 2.76\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.04936v2][2105.04936]]|[[https://inspirehep.net/literature/1862792][1862792]]|%GREEN%[[https://doi.org/10.1007/JHEP10(2021)003][JHEP 10]]%ENDCOLOR%|82|
|JE|Production of \(\Lambda\) and \({\rm K}^{0}_{\rm S}\) in jets in p-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV and pp collisions at \(\sqrt{s} = 7\) !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.04890v3][2105.04890]]|[[https://inspirehep.net/literature/2048607][2048607]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2022.136984][Phys. Lett. B 827]]%ENDCOLOR%|81|
|GA|Nuclear modification factor of light neutral-meson spectra up to high transverse momentum in p-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 8.16 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2104.03116v3][2104.03116]]|[[https://inspirehep.net/literature/1856529][1856529]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2022.136943][Phys. Lett. B 827]]%ENDCOLOR%|80|
|No group|The upgrade of the ALICE TPC with GEMs and continuous readout|[[http://arxiv.org/abs/2012.09518v2][2012.09518]]|[[https://inspirehep.net/literature/1837171][1837171]]|%GREEN%[[https://doi.org/10.1088/1748-0221/16/03/P03022][JINST 16]]%ENDCOLOR%|
|LF|Jet-associated deuteron production in pp collisions at \(\sqrt{s}=13\) !TeV|pp|[[http://arxiv.org/abs/2011.05898v2][2011.05898]]|[[https://inspirehep.net/literature/1829410][1829410]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2021.136440][Phys. Lett. B 819]]%ENDCOLOR%|78|
|LF|Production of \(\omega\) mesons in pp collisions at \(\sqrt{s}\) = 7 !TeV|pp|[[http://arxiv.org/abs/2007.02208v2][2007.02208]]|[[https://inspirehep.net/literature/1805263][1805263]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-020-08651-y][Eur. Phys. J. C 80]]%ENDCOLOR%|77|
|GA|Measurement of isolated photon-hadron correlations in \(\sqrt{s_{\rm{NN}}}\) = 5.02 !TeV pp and p-Pb collisions|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2005.14637v2][2005.14637]]|[[https://inspirehep.net/literature/1798523][1798523]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.102.044908][Phys. Rev. C 102]]%ENDCOLOR%|76|
