   * Generated on 2025-Jan-06 00:22 CET  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|Exploring nuclear structure with multiparticle azimuthal correlations at the LHC|%RED%PbPb%ENDCOLOR%,%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2409.04343v1][2409.04343]]|[[https://inspirehep.net/literature/2825785][2825785]]|%RED%Submitted%ENDCOLOR%|490|
|CF|Higher-order symmetry plane correlations in Pb$-$Pb collisions at $\sqrt{s_{\mathrm{NN}}}$ = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.04238v1][2409.04238]]|[[https://inspirehep.net/literature/2825788][2825788]]|%RED%Submitted%ENDCOLOR%|489|
|MM|Particle production as a function of charged-particle flattenicity in pp collisions at $\sqrt{s}$ = 13 !TeV|pp|[[http://arxiv.org/abs/2407.20037v1][2407.20037]]|[[https://inspirehep.net/literature/2811647][2811647]]|%RED%Submitted%ENDCOLOR%|488|
|HF|Measurement of beauty production via non-prompt charm hadrons in p-Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2407.10593v2][2407.10593]]|[[https://inspirehep.net/literature/2808020][2808020]]|%GREEN%[[https://doi.org/10.1007/JHEP11(2024)148][JHEP 11]]%ENDCOLOR%|487|
|LF|Rapidity dependence of antideuteron coalescence in pp collisions at $\sqrt{s}$ = 13 !TeV with ALICE|pp|[[http://arxiv.org/abs/2407.10527v1][2407.10527]]|[[https://inspirehep.net/literature/2807680][2807680]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2024.139191][Phys. Lett. B 860]]%ENDCOLOR%|486|
|JE|Measurement of the inclusive isolated-photon production cross section in pp collisions at $\sqrt{s}$ = 13 !TeV|pp|[[http://arxiv.org/abs/2407.01165v1][2407.01165]]|[[https://inspirehep.net/literature/2803487][2803487]]|%RED%Submitted%ENDCOLOR%|485|
|CF|Probing strangeness hadronization with event-by-event production of multistrange hadrons|pp,%BLUE%pPb%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.19890v1][2405.19890]]|[[https://inspirehep.net/literature/2791623][2791623]]|%RED%Submitted%ENDCOLOR%|484|
|CF|Investigating $Λ$ baryon production in p-Pb collisions in jets and underlying event using angular correlations|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.19855v1][2405.19855]]|[[https://inspirehep.net/literature/2791853][2791853]]|%RED%Submitted%ENDCOLOR%|483|
|LF|Measurement of ${}_Λ^{3}\mathrm{H}$ production in Pb-Pb collisions at $\sqrt{s_{\mathrm{NN}}}$ = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.19839v1][2405.19839]]|[[https://inspirehep.net/literature/2791616][2791616]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2024.139066][Phys. Lett. B 860]]%ENDCOLOR%|482|
|CF|Measurement of the production and elliptic flow of (anti)nuclei in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44 !TeV|%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2405.19826v2][2405.19826]]|[[https://inspirehep.net/literature/2791620][2791620]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.110.064901][Phys. Rev. C 110]]%ENDCOLOR%|481|
|HF|Charm fragmentation fractions and ${\rm c\overline{c}}$ cross section in p$-$Pb collisions at $\sqrt{s_{\rm NN}}=5.02$ !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.14571v1][2405.14571]]|[[https://inspirehep.net/literature/2789567][2789567]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-024-13394-1][Eur. Phys. J. C 84]]%ENDCOLOR%|480|
|HF|Measurement of the production cross section of prompt $Ξ^0_{\rm c}$ baryons in p$-$Pb collisions at $\sqrt{s_{\mathrm{NN}}}~=~5.02$ !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.14538v1][2405.14538]]|[[https://inspirehep.net/literature/2789570][2789570]]|%RED%Submitted%ENDCOLOR%|479|
|UD|Measurement of the impact-parameter dependent azimuthal anisotropy in coherent $ρ^0$ photoproduction in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.14525v2][2405.14525]]|[[https://inspirehep.net/literature/2789555][2789555]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2024.139017][Phys. Lett. B 858]]%ENDCOLOR%|478|
|LF|Investigating strangeness enhancement with multiplicity in pp collisions using angular correlations|pp|[[http://arxiv.org/abs/2405.14511v2][2405.14511]]|[[https://inspirehep.net/literature/2789572][2789572]]|%GREEN%[[https://doi.org/10.1007/JHEP09(2024)204][JHEP 09]]%ENDCOLOR%|477|
|LF|Investigating strangeness enhancement in jet and medium via $φ$(1020) production in p$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2405.14491v1][2405.14491]]|[[https://inspirehep.net/literature/2789575][2789575]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.110.064912][Phys. Rev. C 110]]%ENDCOLOR%|476|
|HF|Measurement of $Ω^0_{\rm c}$ baryon production and branching-fraction ratio ${\rm BR(Ω^0_c \rightarrow Ω^- e^+ν_e)} / {\rm BR(Ω^0_c \rightarrow Ω^- π^+)}$ in pp collisions at $\sqrt{s}$ = 13 !TeV|pp|[[http://arxiv.org/abs/2404.17272v3][2404.17272]]|[[https://inspirehep.net/literature/2781241][2781241]]|%GREEN%[[https://doi.org/10.1103/PhysRevD.110.032014][Phys. Rev. D 110]]%ENDCOLOR%|475|
|UD|Exclusive four pion photoproduction in ultraperipheral Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2404.07542v1][2404.07542]]|[[https://inspirehep.net/literature/2776333][2776333]]|%RED%Submitted%ENDCOLOR%|474|
|CF|Systematic study of flow vector fluctuations in $\mathbf{\sqrt{\textit{s}_{_{\bf NN}}}=5.02}$ !TeV Pb-Pb collisions|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2403.15213v2][2403.15213]]|[[https://inspirehep.net/literature/2771093][2771093]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.109.065202][Phys. Rev. C 109]]%ENDCOLOR%|473|
|HF|Measurement of beauty-quark production in pp collisions at $\sqrt{s}=13$ !TeV via non-prompt D mesons|pp|[[http://arxiv.org/abs/2402.16417v2][2402.16417]]|[[https://inspirehep.net/literature/2762380][2762380]]|%GREEN%[[https://doi.org/10.1007/JHEP10(2024)110][JHEP 10]]%ENDCOLOR%|472|
|CF|Studying the interaction between charm and light-flavor mesons|pp|[[http://arxiv.org/abs/2401.13541v3][2401.13541]]|[[https://inspirehep.net/literature/2750983][2750983]]|%GREEN%[[https://doi.org/10.1103/PhysRevD.110.032004][Phys. Rev. D 110]]%ENDCOLOR%|471|
|CF|Investigating the composition of the K$^*_0(700)$ state with $π^\pm$K$^0_{\rm S}$ correlations at the LHC|pp|[[http://arxiv.org/abs/2312.12830v3][2312.12830]]|[[https://inspirehep.net/literature/2739149][2739149]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2024.138915][Phys. Lett. B 856]]%ENDCOLOR%|470|
|CF|Common femtoscopic hadron-emission source in pp collisions at the LHC|pp|[[http://arxiv.org/abs/2311.14527v1][2311.14527]]|[[https://inspirehep.net/literature/2725934][2725934]]|%RED%Submitted%ENDCOLOR%|469|
|CF|Emergence of long-range angular correlations in low-multiplicity proton-proton collisions|pp|[[http://arxiv.org/abs/2311.14357v2][2311.14357]]|[[https://inspirehep.net/literature/2725
