Group,Title,System,arXivLink,arXivAbs,InspireLink,DatePublishedArxiv,Journal,N
DQ,Measurement of prompt J/psi and beauty hadron production cross sections at mid-rapidity in pp collisions at sqrt(s) = 7 TeV,pp,http://arxiv.org/abs/1205.5880v2,1205.5880,-,2012-05-26,Submitted,37
CF,"Anisotropic flow of charged hadrons, pions and (anti-)protons measured at high transverse momentum in Pb-Pb collisions at $\sqrt{s_{\rm NN}}=2.76$ TeV",PbPb,http://arxiv.org/abs/1205.5761v3,1205.5761,-,2012-05-25,Submitted,36
GA,Neutral pion and $η$ meson production in proton-proton collisions at $\sqrt{s}=0.9$ TeV and $\sqrt{s}=7$ TeV,pp,http://arxiv.org/abs/1205.5724v2,1205.5724,-,2012-05-25,Submitted,35
HF,Measurement of electrons from semileptonic heavy-flavour hadron decays in pp collisions at $\sqrt{s}$= 7 TeV,pp,http://arxiv.org/abs/1205.5423v3,1205.5423,-,2012-05-24,Submitted,34
HF,Measurement of charm production at central rapidity in proton-proton collisions at $\sqrt{s} = 2.76$ TeV,pp,http://arxiv.org/abs/1205.4007v3,1205.4007,-,2012-05-17,Submitted,33
CF,"Transverse sphericity of primary charged particles in minimum bias proton-proton collisions at $\sqrt{s}=0.9$, 2.76 and 7 TeV",pp,http://arxiv.org/abs/1205.3963v2,1205.3963,-,2012-05-17,Submitted,32
LF,Multi-strange baryon production in pp collisions at $\sqrt{s}$ = 7 TeV with ALICE,pp,http://arxiv.org/abs/1204.0282v3,1204.0282,-,2012-04-02,Submitted,31
DQ,Inclusive J/psi production in pp collisions at sqrt(s) = 2.76 TeV,pp,http://arxiv.org/abs/1203.3641v2,1203.3641,-,2012-03-16,Submitted,30
LF,Measurement of the cross section for electromagnetic dissociation with neutron emission in Pb-Pb collisions at $\sqrt{s_{\rm NN}}=2.76$ TeV,PbPb,http://arxiv.org/abs/1203.2436v3,1203.2436,-,2012-03-12,Submitted,29
HF,Suppression of high transverse momentum D mesons in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}=2.76$ TeV,PbPb,http://arxiv.org/abs/1203.2160v5,1203.2160,-,2012-03-09,Submitted,28
DQ,J/psi Production as a Function of Charged Particle Multiplicity in pp Collisions at sqrt{s} = 7 TeV,pp,http://arxiv.org/abs/1202.2816v1,1202.2816,-,2012-02-13,Submitted,27
DQ,J/$ψ$ suppression at forward rapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1202.1383v3,1202.1383,-,2012-02-07,Submitted,26
HF,Heavy flavour decay muon production at forward rapidity in proton-proton collisions at $\sqrt{s} = 7$ TeV,pp,http://arxiv.org/abs/1201.3791v2,1201.3791,-,2012-01-17,Submitted,25
JE,Measurement of event background fluctuations for charged particle jet reconstruction in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV,PbPb,http://arxiv.org/abs/1201.2423v2,1201.2423,-,2012-01-11,Submitted,24
DQ,Light vector meson production in pp collisions at $\sqrt{s}$ = 7 TeV,pp,http://arxiv.org/abs/1112.2222v2,1112.2222,-,2011-12-09,Submitted,23
CF,Underlying Event measurements in pp collisions at $\sqrt{s}$ = 0.9 and 7 TeV with the ALICE experiment at the LHC,pp,http://arxiv.org/abs/1112.2082v4,1112.2082,-,2011-12-09,Submitted,22
DQ,J/$ψ$ polarization in pp collisions at $\sqrt{s}=7$ TeV,pp,http://arxiv.org/abs/1111.1630v3,1111.1630,-,2011-11-07,Submitted,21
HF,Measurement of charm production at central rapidity in proton-proton collisions at $\sqrt{s} = 7$ TeV,pp,http://arxiv.org/abs/1111.1553v3,1111.1553,-,2011-11-07,Submitted,20
CF,Particle-yield modification in jet-like azimuthal di-hadron correlations in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1110.0121v3,1110.0121,-,2011-10-01,Submitted,19
CF,Harmonic decomposition of two-particle angular correlations in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1109.2501v3,1109.2501,-,2011-09-12,Submitted,18
CF,Higher harmonic anisotropic flow measurements of charged particles in Pb-Pb collisions at 2.76 TeV,PbPb,http://arxiv.org/abs/1105.3865v3,1105.3865,-,2011-05-19,Submitted,17
DQ,Rapidity and transverse momentum dependence of inclusive J/$ψ$ production in pp collisions at $\sqrt{s} = 7$ TeV,pp,http://arxiv.org/abs/1105.0380v4,1105.0380,-,2011-05-02,Submitted,16
LF,"Production of pions, kaons and protons in pp collisions at $\sqrt{s}=900$ GeV with ALICE at the LHC",pp,http://arxiv.org/abs/1101.4110v4,1101.4110,-,2011-01-21,Submitted,15
CF,Femtoscopy of pp collisions at $\sqrt{s}$=0.9 and 7 TeV at the LHC with two-pion Bose-Einstein correlations,pp,http://arxiv.org/abs/1101.3665v2,1101.3665,-,2011-01-19,Submitted,14
CF,Two-pion Bose-Einstein correlations in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1012.4035v4,1012.4035,-,2010-12-17,Submitted,13
LF,Strange particle production in proton-proton collisions at $\sqrt{s}=0.9$ TeV with ALICE at the LHC,pp,http://arxiv.org/abs/1012.3257v3,1012.3257,-,2010-12-15,Submitted,12
LF,Centrality dependence of the charged-particle multiplicity density at mid-rapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1012.1657v3,1012.1657,-,2010-12-08,Submitted,11
LF,Suppression of charged particle production at large transverse momentum in central Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV,PbPb,http://arxiv.org/abs/1012.1004v2,1012.1004,-,2010-12-05,Submitted,10
LF,Charged-particle multiplicity density at mid-rapidity in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1011.3916v4,1011.3916,-,2010-11-17,Submitted,9
CF,Elliptic flow of charged particles in Pb-Pb collisions at 2.76 TeV,PbPb,http://arxiv.org/abs/1011.3914v3,1011.3914,-,2010-11-17,Submitted,8
LF,Transverse momentum spectra of charged particles in proton-proton collisions at $\sqrt{s} = 900$ GeV with ALICE at the LHC,pp,http://arxiv.org/abs/1007.0719v4,1007.0719,-,2010-07-05,Submitted,7
CF,Two-pion Bose-Einstein correlations in pp collisions at $\sqrt{s}=900$ GeV,pp,http://arxiv.org/abs/1007.0516v2,1007.0516,-,2010-07-03,Submitted,6
LF,Midrapidity antiproton-to-proton ratio in pp collisions at $\sqrt{s} = 0.9$ and $7$ TeV measured by the ALICE experiment,pp,http://arxiv.org/abs/1006.5432v2,1006.5432,-,2010-06-28,Submitted,5
LF,Charged-particle multiplicity measurement in proton-proton collisions at $\sqrt{s}$ = 7 TeV with ALICE at LHC,pp,http://arxiv.org/abs/1004.3514v3,1004.3514,-,2010-04-20,Submitted,4
LF,Charged-particle multiplicity measurement in proton-proton collisions at $\sqrt{s}$ = 0.9 and 2.36 TeV with ALICE at LHC,pp,http://arxiv.org/abs/1004.3034v3,1004.3034,-,2010-04-18,Submitted,3
PP,Alignment of the ALICE Inner Tracking System with cosmic-ray tracks,c.r.,http://arxiv.org/abs/1001.0502v4,1001.0502,-,2010-01-04,Submitted,2
LF,First proton-proton collisions at the LHC as observed with the ALICE detector: measurement of the charged particle pseudorapidity density at $\sqrt{s}$ = 900 GeV,pp,http://arxiv.org/abs/0911.5430v3,0911.5430,-,2009-11-28,Submitted,1
PP,The ALICE experiment at the CERN LHC,n/a,n/a,n/a,https://inspirehep.net/record/796251?ln=en,2008-08-03,[[http://iopscience.iop.org/1748-0221/3/08/S08002/][ J. Instrum. 3 (2008)]],0
