%TABLE{columnwidths="4%,55%,6%,6%,10%,9%,10%"}%
|*N*||*Group*|*Title*|*arXiv*|*Inspire*|*Journal*|*System*|
|543||CF|One- and three-dimensional identical charged-kaon femtoscopic correlations in Pb--Pb collisions at $\mathbf{ \sqrt{s_\mathrm{NN}}=5.02}$ TeV|[[https://arxiv.org/abs/2601.15054][2601.15054]]|n/a|n/a|PbPb|
|542||LF|Strangeness enhancement at its extremes: multiple (multi-)strange hadron production in pp collisions at $\mathbf{\sqrt{\textit{s}} = 5.02}$ TeV|[[https://arxiv.org/abs/2511.10413][2511.10413]]|n/a|n/a|pp|
|541||CF|Multiplicity dependence of two-particle angular correlations of identified particles in pp collisions at $\mathbf{\sqrt{s} = 13}$ TeV|[[https://arxiv.org/abs/2511.10399][2511.10399]]|n/a|n/a|pp|
|540||LF|Centrality dependence of strange particle production in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2511.10360][2511.10360]]|n/a|n/a|PbPb|
|539||n/a|Time resolution of the ALICE Time-Of-Flight detector with the first Run 3 pp collisions at ${\bf \sqrt{\textit{s}} = 13.6}$ TeV|[[https://arxiv.org/abs/2511.10311][2511.10311]]|n/a|n/a|pp|
|538||LF|Strangeness production as a function of charged-particle multiplicity in proton-proton collisions at ${\bf \sqrt{s}~=~5.02}$ TeV|[[https://arxiv.org/abs/2511.10306][2511.10306]]|n/a|n/a|pp|
|537||CF|Measurement of the p$-Σ^+$ correlation function in pp collisions at $\sqrt{\textit{s}}=13$ TeV|[[https://arxiv.org/abs/2510.14448][2510.14448]]|n/a|n/a|pp|
|536||CF|Study of the interaction between $Ξ$ baryons and light mesons via femtoscopy at the LHC|[[https://arxiv.org/abs/2509.24519][2509.24519]]|n/a|n/a|pp|
|535||CF|Evidence of nuclear geometry-driven anisotropic flow in OO and Ne$-$Ne collisions at $\mathbf{\sqrt{{\textit s}_{\rm\mathbf {NN}}}}$ = 5.36 TeV|[[https://arxiv.org/abs/2509.06428][2509.06428]]|n/a|n/a|NeNe,OO|
|534||LF|$Σ^{+}$ production in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2508.20808][2508.20808]]|n/a|Eur. Phys. J. C (2026) 86:101|pp|
|533||LF|Multiplicity dependence of f$_0$(980) production in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2507.19347][2507.19347]]|n/a|Eur. Phys. J. C (2026) 86:76|pp|
|532||LF|Multiplicity dependence of K$^*(892)^{\pm}$ production in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2507.19332][2507.19332]]|n/a|n/a|pp|
|531||HF|Medium-induced modification of azimuthal correlations of electrons from heavy-flavor hadron decays with charged particles in Pb-Pb collisions at $\sqrt{s_{\rm{NN}} = 5.02}$ TeV|[[https://arxiv.org/abs/2507.13197][2507.13197]]|n/a|n/a|PbPb|
|530||LF|$\overlineΣ^{\pm}$ production in pp and p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV with ALICE|[[https://arxiv.org/abs/2507.13183][2507.13183]]|n/a|Eur. Phys. J. C (2026) 86:132|pp,pPb|
|529||LF|Study of $\langle p_{\rm T} \rangle$ and its higher moments, and extraction of the speed of sound in Pb-Pb collisions with ALICE|[[https://arxiv.org/abs/2506.10394][2506.10394]]|n/a|JHEP 11 (2025) 076|PbPb|
|528||CF|Femtoscopic study of the proton-proton and proton-deuteron systems in heavy-ion collisions at the LHC|[[https://arxiv.org/abs/2505.01061][2505.01061]]|n/a|Phys. Lett. B 871 (2025) 139921|PbPb|
|527||CF|Long-range transverse momentum correlations and radial flow in Pb$-$Pb collisions at the LHC with ALICE|[[https://arxiv.org/abs/2504.04796][2504.04796]]|n/a|Phys. Rev. Lett. 136, 032302 (2026)|PbPb|
|526||HF|Energy-energy correlators in charm-tagged jets in proton-proton collisions at $\mathbf{\sqrt{s} = 13}$ TeV|[[https://arxiv.org/abs/2504.03431][2504.03431]]|n/a|n/a|pp|
|525||HF|D$^{0}$-meson-tagged jet axes difference in proton-proton collisions at $\mathbf{\sqrt{\textit{s}} = 5.02}$ TeV|[[https://arxiv.org/abs/2504.02571][2504.02571]]|n/a|Phys. Rev. D 112 (2025) 092012|pp|
|524||LF|Centrality dependence of charged-particle pseudorapidity density at midrapidity in Pb-Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}} = 5.36}$ TeV|[[https://arxiv.org/abs/2504.02505][2504.02505]]|n/a|n/a|PbPb|
|523||CF|Observation of deuteron and antideuteron formation from resonance-decay nucleons|[[https://arxiv.org/abs/2504.02393][2504.02393]]|n/a|Nature 648, 306-311 (2025)|pp|
|522||CF|First observation of ultra-long-range azimuthal correlations in low multiplicity pp and p-Pb collisions at the LHC|[[https://arxiv.org/abs/2504.02359][2504.02359]]|n/a|n/a|pp,pPb|
|521||CF|Accessing the deuteron source with pion-deuteron femtoscopy in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2504.02333][2504.02333]]|n/a|Phys. Rev. C 112 (2025) 064003|PbPb|
|520||HF|First measurement of D$^{*+}$ vector spin alignment in Pb$-$Pb collisions at $\mathbf{\sqrt{s_{\rm NN}} = 5.02}$ TeV|[[https://arxiv.org/abs/2504.00714][2504.00714]]|n/a|JHEP 10 (2025) 094|PbPb|
|519||DQ|Multiplicity-dependent inclusive J/$ψ$ production at forward rapidity in pp collisions at $\mathbf{\sqrt{s} = 13}$ TeV|[[https://arxiv.org/abs/2504.00686][2504.00686]]|n/a|JHEP 07 (2025) 238|pp|
|518||CF|Measurement of correlations among net-charge, net-proton, and net-kaon multiplicity distributions in Pb$-$Pb collisions at $\sqrt{s_\text{NN}}=5.02$ TeV|[[https://arxiv.org/abs/2503.18743][2503.18743]]|n/a|JHEP 08 (2025) 210|PbPb|
|517||UD|Evidence for J/$ψ$ suppression in incoherent photonuclear production|[[https://arxiv.org/abs/2503.18708][2503.18708]]|n/a|n/a|PbPb|
|516||CF|Investigating the p-$π^{\pm}$ and p-p-$π^{\pm}$ dynamics with femtoscopy in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2502.20200][2502.20200]]|n/a|Eur. Phys. J. A 61, 194 (2025)|pp|
|515||EM|Measurement of $ω$ meson production in pp and p$-$Pb collisions at $\mathbf{\sqrt{s_{\rm NN}} = 5.02}$ TeV|[[https://arxiv.org/abs/2502.19956][2502.19956]]|n/a|Phys. Rev. C 112 (2025) 4, 044904|pp,pPb|
|514||LF|Charged-particle multiplicity distributions over a wide pseudorapidity range in p-Pb collisions at $\mathbf{\sqrt{s}_{\rm NN} = 5.02}$ TeV|[[https://arxiv.org/abs/2502.18081][2502.18081]]|n/a|Eur. Phys. J. C 85 (2025) 8, 919|pPb|
|513||LF|Observation of the $Ω$(2012) baryon at the LHC|[[https://arxiv.org/abs/2502.18063][2502.18063]]|n/a|Phys. Rev. D 112 (2025) 9, 092002|pp|
|512||JE|Measurement of isolated prompt photon production in pp and p-Pb collisions at the LHC|[[https://arxiv.org/abs/2502.18054][2502.18054]]|n/a|Eur. Phys. J. C 85 (2025) 1407|pp,pPb|
